V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
0.948415,0.777285,0.839423,0.190545,0.775063,0.246977,0.278276,0.777673,0.455711,0.490593,0.219101,0.695651,0.39491,0.655898,0.244795,0.431481,0.710676,0.615026,0.479026,0.577148,0.563954,0.540659,0.657797,0.39264,0.619232,0.376041,0.411807,0.310561,0.000499,0
0.96996,0.758969,0.853791,0.317388,0.757698,0.261077,0.264028,0.785259,0.48783,0.503398,0.245301,0.721051,0.471247,0.63821,0.383865,0.457907,0.71922,0.669984,0.523444,0.584402,0.56596,0.529609,0.660766,0.439822,0.60186,0.378803,0.416934,0.314744,0.00998,0
0.943881,0.780071,0.85396,0.250594,0.764521,0.254455,0.268062,0.789344,0.428153,0.501862,0.366273,0.751385,0.509719,0.665454,0.322738,0.456197,0.719124,0.668181,0.573304,0.581113,0.564799,0.535803,0.664471,0.461747,0.56265,0.470604,0.420532,0.315716,0.00064,0
0.93953,0.773768,0.822182,0.238062,0.765096,0.262812,0.274021,0.79013,0.448773,0.476902,0.326458,0.714209,0.398954,0.60537,0.223663,0.464351,0.761839,0.725276,0.560991,0.585716,0.565751,0.530501,0.671579,0.469791,0.573262,0.510484,0.4193,0.317525,0.010509,0
0.993324,0.766048,0.818709,0.270861,0.76417,0.250542,0.266099,0.782346,0.486202,0.510801,0.232382,0.70244,0.382131,0.661468,0.346791,0.44729,0.724377,0.601017,0.57496,0.577236,0.556651,0.474002,0.670673,0.385086,0.559358,0.457875,0.415097,0.311868,5e-05,0
0.979432,0.766188,0.839131,0.254364,0.762561,0.253781,0.265491,0.783131,0.47174,0.506215,0.245536,0.697225,0.428667,0.656401,0.420477,0.460775,0.719159,0.638701,0.569479,0.580196,0.561677,0.508421,0.663639,0.396834,0.600438,0.60344,0.414752,0.313193,0.001687,0
0.963452,0.774807,0.841135,0.24124,0.767948,0.252162,0.270798,0.782886,0.460027,0.500327,0.224738,0.696876,0.406163,0.6566,0.327426,0.441303,0.725056,0.61175,0.595619,0.578361,0.55852,0.48895,0.667643,0.386664,0.523794,0.448611,0.417891,0.315137,3.5e-05,0
0.897641,0.764439,0.816187,0.255451,0.770478,0.265396,0.261251,0.798139,0.449282,0.498175,0.245326,0.729164,0.465761,0.684663,0.339347,0.492253,0.702587,0.690306,0.525415,0.567145,0.561694,0.502581,0.647395,0.163194,0.539896,0.30876,0.409361,0.304306,0.003775,0
0.947298,0.766102,0.872518,0.258638,0.770546,0.263378,0.263572,0.785361,0.494858,0.502234,0.422698,0.631188,0.608621,0.69362,0.371802,0.445609,0.744471,0.692141,0.624499,0.584093,0.5633,0.538087,0.664999,0.346482,0.541456,0.606093,0.414357,0.311214,0.000621,0
0.955612,0.779255,0.826839,0.275712,0.77216,0.265168,0.269597,0.788699,0.450823,0.49648,0.163215,0.721636,0.52135,0.65195,0.257682,0.431629,0.723821,0.656106,0.584753,0.578329,0.567254,0.566559,0.663271,0.393341,0.548878,0.34519,0.419735,0.317279,0.000828,0
0.972389,0.746958,0.837929,0.16767,0.754368,0.257892,0.262168,0.784943,0.479703,0.503202,0.325211,0.724926,0.399162,0.654252,0.367355,0.3925,0.730788,0.789683,0.596072,0.580816,0.558313,0.48271,0.661171,0.385275,0.594984,0.424782,0.416222,0.314267,0.011386,0
0.935565,0.755611,0.870936,0.126648,0.761491,0.253793,0.26052,0.785921,0.407066,0.525304,0.211849,0.641665,0.418875,0.623701,0.338953,0.450028,0.7345,0.685755,0.47774,0.576768,0.561074,0.526762,0.659294,0.378169,0.610252,0.424143,0.420693,0.315697,0.002032,0
0.990785,0.771995,0.811988,0.416646,0.771793,0.263059,0.268528,0.784298,0.432056,0.539638,0.173944,0.658413,0.313908,0.669748,0.252102,0.465536,0.715245,0.621739,0.473487,0.57703,0.560798,0.499331,0.66661,0.437384,0.589815,0.426184,0.414935,0.312049,0.001738,0
0.991085,0.764379,0.805314,0.272086,0.768328,0.255416,0.268339,0.782335,0.468544,0.514497,0.304037,0.73115,0.414498,0.668649,0.255284,0.442334,0.716704,0.64634,0.609285,0.579271,0.562011,0.514632,0.664501,0.322117,0.589907,0.487989,0.414606,0.311563,0.003035,0
0.981001,0.768289,0.840383,0.243413,0.763699,0.254414,0.265533,0.782621,0.467866,0.504255,0.255092,0.724253,0.533602,0.646867,0.416433,0.460731,0.715541,0.622458,0.583054,0.580294,0.559339,0.495359,0.665046,0.378239,0.596886,0.586949,0.415067,0.31313,6e-05,0
0.992095,0.763867,0.832299,0.273168,0.761079,0.256956,0.262091,0.784306,0.507252,0.505609,0.238363,0.73211,0.502017,0.638421,0.385285,0.450527,0.715489,0.662897,0.531993,0.578094,0.566128,0.562421,0.666594,0.387221,0.576461,0.402958,0.417341,0.312335,9.7e-05,0
0.945881,0.774761,0.86074,0.19397,0.767875,0.270418,0.264984,0.788778,0.476423,0.484152,0.313391,0.729327,0.534497,0.579845,0.309154,0.504661,0.712541,0.761183,0.503727,0.57973,0.565548,0.543558,0.661229,0.390319,0.553228,0.502852,0.414384,0.316338,0.000933,0
0.953521,0.779917,0.835604,0.232402,0.768324,0.254895,0.268749,0.787393,0.500329,0.487654,0.259672,0.617552,0.589704,0.707768,0.253522,0.451189,0.742702,0.62596,0.546707,0.578457,0.555261,0.471954,0.666998,0.316591,0.552905,0.447021,0.418287,0.313608,0.00035,0
0.960439,0.777642,0.830188,0.228155,0.771975,0.254424,0.27102,0.784417,0.462786,0.491714,0.240001,0.693834,0.427154,0.613757,0.321001,0.460519,0.742005,0.641438,0.546356,0.580352,0.555928,0.469698,0.666922,0.456506,0.55398,0.444185,0.420564,0.314831,8.9e-05,0
0.959931,0.775277,0.834422,0.215786,0.771245,0.257748,0.271407,0.784202,0.466734,0.500387,0.168659,0.684006,0.415821,0.651887,0.316962,0.45703,0.709268,0.630676,0.587431,0.580089,0.556185,0.47206,0.665115,0.243584,0.557357,0.458837,0.420892,0.314879,0.000622,0
0.979963,0.771979,0.838852,0.280438,0.768157,0.262435,0.265033,0.783962,0.506286,0.493883,0.313443,0.625669,0.657994,0.679096,0.380535,0.461062,0.750283,0.633453,0.528303,0.579389,0.554107,0.463477,0.666296,0.267891,0.592298,0.447529,0.415961,0.313409,7.7e-05,0
0.955555,0.779871,0.864368,0.379027,0.76583,0.260544,0.268855,0.785186,0.416354,0.524656,0.236474,0.659899,0.363849,0.665212,0.432155,0.446801,0.732935,0.679592,0.618043,0.581,0.565407,0.540921,0.663328,0.434746,0.556154,0.475715,0.419296,0.316395,0.00074,0
0.93523,0.759537,0.850863,0.293871,0.778103,0.252318,0.258842,0.787701,0.50735,0.50841,0.413458,0.608683,0.47623,0.698027,0.357224,0.456115,0.757735,0.68771,0.594617,0.577235,0.555262,0.478387,0.664906,0.327777,0.516488,0.434408,0.424386,0.313786,0.000506,0
0.962416,0.768893,0.8445,0.238783,0.760604,0.259415,0.266573,0.783163,0.403543,0.532879,0.351832,0.6755,0.417931,0.65863,0.409377,0.452133,0.756469,0.635179,0.828413,0.583947,0.570189,0.582384,0.663697,0.401144,0.534143,0.471702,0.418753,0.316882,0.002875,0
0.942495,0.781591,0.859528,0.291707,0.768621,0.259821,0.269658,0.781723,0.511852,0.518158,0.324299,0.588712,0.509846,0.698011,0.388862,0.425477,0.752361,0.650339,0.550954,0.581158,0.560201,0.52698,0.664489,0.382373,0.560581,0.363284,0.415775,0.314135,6e-05,0
0.979136,0.753819,0.831755,0.179963,0.770009,0.301237,0.254836,0.79624,0.451328,0.521392,0.264524,0.694415,0.494958,0.637663,0.46454,0.438575,0.705908,0.799277,0.49816,0.578576,0.558914,0.497674,0.664815,0.522384,0.58569,0.575968,0.416538,0.313886,0.003456,0
0.944343,0.772123,0.856207,0.222418,0.764231,0.263726,0.264243,0.792347,0.461526,0.490649,0.289876,0.730501,0.452608,0.651512,0.28138,0.469078,0.710794,0.707308,0.559915,0.57909,0.568108,0.560772,0.662637,0.338044,0.556876,0.521581,0.416605,0.314384,0.001164,0
0.960224,0.767351,0.835177,0.196827,0.762959,0.253998,0.270141,0.781856,0.424032,0.500629,0.258266,0.686494,0.53933,0.58636,0.312349,0.483941,0.764682,0.598274,0.617623,0.584861,0.567308,0.554044,0.670586,0.379714,0.513319,0.369673,0.421177,0.319289,0.005549,0
0.954844,0.770202,0.856821,0.174323,0.764754,0.253255,0.267345,0.783951,0.489085,0.48208,0.244718,0.71029,0.465032,0.651772,0.48468,0.431067,0.726373,0.676644,0.696315,0.581634,0.561863,0.516477,0.664202,0.367914,0.551658,0.4068,0.419572,0.316397,0.000456,0
0.94709,0.781709,0.838582,0.275096,0.768908,0.25666,0.26623,0.79003,0.437258,0.477203,0.291201,0.691596,0.470197,0.584177,0.472114,0.462224,0.793181,0.697098,0.599922,0.581155,0.56111,0.503723,0.663979,0.325661,0.548878,0.532325,0.417071,0.3151,3.9e-05,0
0.987034,0.758099,0.827621,0.264568,0.760101,0.257616,0.263648,0.785616,0.503578,0.505905,0.329228,0.738969,0.372466,0.657007,0.290126,0.451472,0.719785,0.646307,0.608536,0.580239,0.556992,0.464076,0.670455,0.384947,0.543425,0.352034,0.415886,0.312567,0.005526,0
0.990482,0.764616,0.815612,0.271777,0.769174,0.26696,0.265198,0.786806,0.483459,0.507565,0.270656,0.723921,0.416715,0.660017,0.382727,0.41166,0.751183,0.499101,0.485973,0.576667,0.559002,0.500885,0.670735,0.242405,0.555535,0.456972,0.416315,0.311688,0.000584,0
0.951134,0.762416,0.870896,0.168957,0.760373,0.268385,0.262259,0.789311,0.44131,0.507643,0.304606,0.725282,0.510686,0.624101,0.282075,0.439453,0.700191,0.808978,0.435018,0.576351,0.562154,0.53367,0.667892,0.48594,0.524901,0.490371,0.419556,0.317251,0.002441,0
0.955852,0.775421,0.829397,0.241788,0.771839,0.253154,0.273139,0.782198,0.454071,0.485787,0.233925,0.689788,0.458726,0.619284,0.391949,0.450775,0.741567,0.707696,0.561564,0.581448,0.567408,0.55922,0.6638,0.317339,0.55509,0.403259,0.420329,0.318142,0.00299,0
0.960754,0.736295,0.851981,0.261806,0.748725,0.264625,0.261241,0.785736,0.47901,0.510011,0.223547,0.688799,0.430744,0.613349,0.285067,0.477492,0.752658,0.578815,0.612846,0.593667,0.570126,0.529046,0.656396,0.44589,0.589175,0.403289,0.415753,0.315828,0.02396,0
0.770331,0.859489,0.726738,0.215076,0.726364,0.248858,0.234692,0.85917,0.511492,0.588284,0.284916,0.828404,0.493266,0.763204,0.350926,0.493778,0.790271,0.642288,0.490038,0.596268,0.557879,0.460189,0.68047,0.395192,0.647731,0.459539,0.432785,0.327008,0.000358,0
0.939929,0.7817,0.876475,0.281172,0.764719,0.264638,0.26756,0.786535,0.454989,0.511273,0.283111,0.716865,0.51659,0.636584,0.465671,0.43986,0.727343,0.633962,0.564159,0.582568,0.560841,0.518608,0.661994,0.392846,0.58385,0.357686,0.410086,0.305667,0.000194,0
0.943889,0.772487,0.84008,0.159227,0.764777,0.255683,0.264213,0.790155,0.434452,0.488603,0.203605,0.656952,0.456994,0.579813,0.30946,0.51805,0.760846,0.647707,0.546983,0.582084,0.565849,0.541756,0.660829,0.279067,0.587175,0.405264,0.421135,0.315945,0.001166,0
0.979159,0.771883,0.846065,0.300663,0.764105,0.254462,0.266684,0.782431,0.456594,0.507684,0.278904,0.74355,0.571473,0.646825,0.400054,0.452624,0.714685,0.628936,0.533482,0.579911,0.560922,0.509841,0.664819,0.438358,0.611255,0.352886,0.4171,0.313723,0.000292,0
0.961276,0.74467,0.844886,0.289325,0.758389,0.279108,0.262561,0.790028,0.445655,0.514795,0.302269,0.718374,0.445086,0.647277,0.445779,0.362287,0.768617,0.618829,0.333939,0.582937,0.564394,0.52079,0.661025,0.295978,0.577032,0.398799,0.417603,0.315238,0.018683,0
0.992952,0.763714,0.791574,0.222525,0.782349,0.296414,0.262967,0.793731,0.485026,0.506744,0.280125,0.724371,0.425635,0.663644,0.361261,0.431123,0.72286,0.598195,0.572498,0.578229,0.557905,0.484378,0.669603,0.473905,0.579321,0.346378,0.416632,0.311906,3.9e-05,0
0.946955,0.768148,0.83552,0.260023,0.78587,0.296539,0.264388,0.795147,0.434186,0.507941,0.267884,0.691746,0.45145,0.662099,0.444637,0.44869,0.713754,0.702193,0.642568,0.584761,0.564841,0.522078,0.664908,0.518136,0.581195,0.393488,0.418927,0.316324,0.001944,0
0.940114,0.78054,0.850128,0.220735,0.764839,0.267256,0.262122,0.773944,0.475842,0.486447,0.210097,0.740891,0.549066,0.640251,0.330022,0.452992,0.720157,0.671545,0.533374,0.574893,0.591549,0.536226,0.666343,0.46777,0.5603,0.376455,0.419867,0.316076,0.000389,0
0.959737,0.777266,0.831456,0.224452,0.771467,0.257108,0.270662,0.785885,0.453727,0.495067,0.348411,0.719866,0.412007,0.621214,0.268419,0.465526,0.736459,0.672861,0.564303,0.580421,0.556929,0.476027,0.667174,0.469811,0.551042,0.439774,0.420466,0.314649,0.00035,0
0.973476,0.757188,0.85579,0.265571,0.755433,0.261303,0.261145,0.788095,0.503435,0.502624,0.332338,0.71963,0.303889,0.64709,0.27578,0.45305,0.733209,0.655436,0.61387,0.581207,0.559746,0.487806,0.665372,0.4606,0.576268,0.57305,0.415144,0.31365,0.005556,0
0.978295,0.762931,0.841704,0.222191,0.764207,0.269788,0.260666,0.78899,0.430005,0.508814,0.372565,0.710101,0.504352,0.608466,0.475819,0.453574,0.796269,0.425596,0.469219,0.58034,0.561549,0.513579,0.669484,0.284784,0.572099,0.364379,0.418312,0.313827,0.000584,0
0.996872,0.74941,0.802209,0.137057,0.772056,0.299351,0.253823,0.794967,0.421415,0.541208,0.270883,0.677675,0.477956,0.63376,0.361519,0.432834,0.741366,0.644624,0.536404,0.576418,0.55911,0.510263,0.66991,0.474375,0.564303,0.400079,0.417381,0.312081,0.000475,0
0.950922,0.777852,0.859126,0.273971,0.768706,0.260328,0.270621,0.786473,0.430089,0.504331,0.366996,0.715202,0.369329,0.672327,0.343322,0.440239,0.724709,0.650063,0.539448,0.578553,0.564292,0.531679,0.663389,0.410043,0.56558,0.354577,0.419082,0.315817,0.000389,0
0.956281,0.760101,0.858673,0.114023,0.762704,0.260644,0.264845,0.784134,0.397525,0.5285,0.285321,0.656736,0.380102,0.631547,0.236429,0.446022,0.725645,0.701048,0.528388,0.57618,0.559659,0.518035,0.662248,0.311787,0.56363,0.376049,0.415845,0.311179,0.00074,0
0.961232,0.765885,0.857854,0.193194,0.758534,0.25073,0.263958,0.773598,0.424314,0.511331,0.296338,0.701221,0.49635,0.638872,0.33915,0.487819,0.735731,0.537953,0.520809,0.58034,0.577728,0.518939,0.663198,0.511223,0.618551,0.367663,0.419118,0.317954,0.002796,0
0.939563,0.765149,0.84989,0.103184,0.76543,0.27428,0.261512,0.795431,0.377209,0.517844,0.303218,0.676955,0.412295,0.650634,0.287101,0.42362,0.756355,0.613008,0.465799,0.57577,0.560059,0.515561,0.660379,0.156564,0.61229,0.427482,0.419776,0.313131,0.000584,0
0.935336,0.77879,0.866835,0.197403,0.765401,0.260033,0.266285,0.791493,0.456845,0.463571,0.268518,0.734862,0.571639,0.585639,0.321919,0.493936,0.734768,0.67543,0.412443,0.579467,0.562629,0.51199,0.662312,0.520962,0.601822,0.467352,0.414325,0.313604,0.001081,0
0.807593,0.718267,0.790746,0.296857,0.754704,0.27242,0.276699,0.779385,0.523007,0.535238,0.321293,0.729563,0.515045,0.632476,0.430421,0.495452,0.696227,0.70944,0.640511,0.536997,0.546389,0.543605,0.64727,0.446454,0.59016,0.36785,0.360867,0.402826,0.01244,0
0.98431,0.763987,0.83244,0.433763,0.763855,0.267824,0.264519,0.787288,0.450347,0.538123,0.278664,0.709047,0.34484,0.65061,0.147967,0.46896,0.715589,0.664228,0.481012,0.579572,0.565104,0.532759,0.664726,0.390613,0.575929,0.441145,0.4157,0.312497,0.006249,0
0.978839,0.768546,0.843851,0.271539,0.763715,0.258219,0.265096,0.785084,0.457329,0.510853,0.353402,0.735252,0.452745,0.661731,0.364996,0.468731,0.708442,0.659735,0.58615,0.579696,0.557925,0.476397,0.666495,0.380461,0.590136,0.441265,0.415811,0.313282,0.0007,0
0.992273,0.765076,0.817626,0.271255,0.764342,0.251141,0.266488,0.782125,0.484743,0.510295,0.231552,0.707325,0.405602,0.659685,0.345168,0.447665,0.72319,0.600685,0.576018,0.578207,0.556968,0.47363,0.670038,0.376867,0.559712,0.457828,0.415008,0.311988,0.001401,0
0.904382,0.724324,0.865021,0.189129,0.765512,0.250754,0.251493,0.794897,0.401494,0.518948,0.282037,0.686018,0.420337,0.638068,0.234831,0.454493,0.742124,0.724696,0.541126,0.587999,0.56583,0.496707,0.668596,0.377469,0.572375,0.363594,0.416814,0.304351,0.006228,0
0.977732,0.760205,0.853415,0.215897,0.756675,0.260802,0.259502,0.789857,0.532259,0.490853,0.352524,0.701224,0.192585,0.66992,0.422402,0.434999,0.735055,0.691188,0.597023,0.576506,0.562196,0.520426,0.666087,0.40415,0.592752,0.314948,0.418101,0.31347,3.9e-05,0
